"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Efficacy of Vit E in PCOS Resistant to Clomiphene Citrate","Completed","No Results Available","Clomiphene Citrate Resistant Polycystic Ovary Syndrome","Dietary Supplement: vitamin E|Drug: Metformin|Drug: Clomiphene Citrate","Medical Center of Infertility, Banī Suwayf, Egypt","https://ClinicalTrials.gov/show/NCT03674385"
2,"NAC in CC Resistant PCOS After LOD","Completed","No Results Available","Clomiphene Citrate Resistant Polycystic Ovary Syndrome","Drug: N-acetyl-cysteine|Drug: Clomiphene citrate","Ain Shams University Maternity Hospital, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT02775734"
3,"Letrozole Versus Gonadotropins in Clomiphene Citrate Resistance","Completed","No Results Available","Clomiphene Citrate Resistance|Ovulation Induction|Letrozole|Gonadotropins","Drug: Letrozole 2.5mg|Drug: Gonadotropin","Ayman Shehata Dawood, Tanta, Gharbia, Egypt","https://ClinicalTrials.gov/show/NCT04834791"
4,"Clomiphene Citrate for Treatment of Acromegaly","Completed","Has Results","Acromegaly","Drug: Clomiphene Citrate",,"https://ClinicalTrials.gov/show/NCT02274311"
5,"The Effects of Letrozole And Clomiphene Citrate For Induction of Ovulation In Polycystic Ovarian Syndrome(PCOS)","Completed","No Results Available","Polycystic Ovarian Syndrome","Drug: Letrozole",,"https://ClinicalTrials.gov/show/NCT01577017"
6,"Extended Letrozole Regimen Versus Clomiphene Citrate for Superovulation in Patients With Unexplained Infertility Undergoing Intrauterine Insemination","Completed","No Results Available","Infertility","Drug: Extended letrozole regimen|Drug: Clomiphene citrate regimen","Ahmed Elgazzar hospital, Cairo, Egypt|Cairo university hospital, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT01232075"
7,"To Study The Influence Of Genomic Factors On Metabolism And Effects Of Clomiphene In Asian Normogonadotrophic Anovulatory Patients.","Completed","No Results Available","Infertility, Female",,"KK Women's and Children's Hospital, Singapore, Singapore","https://ClinicalTrials.gov/show/NCT02548039"
8,"Clomiphene Citrate Versus Tamoxifen for Ovulation Induction in PCOs","Completed","No Results Available","PCOS","Drug: Clomiphene citrate|Drug: Tamoxifen Placebo|Drug: Tamoxifen|Drug: Clomiphene citrate placebo","Ain Shams University Maternity Hospital, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT02479256"
9,"Luteal Support and Intrauterine Insemination (IUI) With Clomiphene Citrate","Completed","No Results Available","Infertility","Drug: micronized progesterone",,"https://ClinicalTrials.gov/show/NCT01046708"
10,"Coenzyme Q10 and Clomiphene Citrate (CC) for Ovulation Induction in Polycystic Ovary Syndrome","Completed","No Results Available","Polycystic Ovary Syndrome","Drug: Coenzyme Q10|Drug: clomiphene citrate","Mansoura University Hospitals, Mansoura, Dakahlia, Egypt","https://ClinicalTrials.gov/show/NCT01910766"
