"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Modafinil for Atypical Depression","Completed","No Results Available","Atypical Depression","Drug: modafinil",,"https://ClinicalTrials.gov/show/NCT00215176"
2,"Modafinil - Escitalopram Study for Cocaine Dependence","Completed","No Results Available","Cocaine Dependence|Cocaine Abuse|Cocaine Addiction|Substance Abuse","Drug: Modafinil and Escitalopram|Drug: Placebo|Drug: Modafinil|Drug: Escitalopram","Michael E. DeBakey VA Medical Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT01601730"
3,"Modafinil for Smoked Cocaine Self-Administration","Completed","Has Results","Cocaine Dependence","Drug: Modafinil 0 mg|Drug: Modafinil 200 mg|Drug: Modafinil 400 mg|Drug: Cocaine 0 mg|Drug: Cocaine 12 mg|Drug: Cocaine 25 mg|Drug: Cocaine 50 mg","Columbia University Medical Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT01778010"
4,"Modafinil to Reduce Persistent Fatigue in Patients Following Treatment for Cancer","Completed","No Results Available","Cancer|Fatigue|Chemotherapy","Drug: Modafinil|Drug: sugar pill","University of Rochester, James P. Wilmot Cancer Center, Rochester, New York, United States","https://ClinicalTrials.gov/show/NCT00178373"
5,"Modafinil, Sleep, and Cognition in Cocaine Dependence","Completed","Has Results","Cocaine Dependence|Substance-induced Sleep Disorder|Substance-induced Cognitive Disorder","Drug: Modafinil|Drug: Placebo","Connecticut Mental Health Center, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT00582491"
6,"Effectiveness of Modafinil for Treating Fatigue in Adults With HIV/AIDS","Completed","Has Results","HIV Infections|Fatigue","Drug: Modafinil|Drug: Placebo","New York State Psychiatric Institute, New York, New York, United States","https://ClinicalTrials.gov/show/NCT00118378"
7,"Study of Modafinil to Treat Fatigue in Persons With Traumatic Brain Injury","Completed","No Results Available","Fatigue","Drug: Modafinil",,"https://ClinicalTrials.gov/show/NCT00702637"
8,"Modafinil in Cancer Related Fatigue","Completed","No Results Available","Cancer Related Fatigue|Quality of Life","Drug: Modafinil|Drug: Pyridoxine","Regional Cancer Centre, Shimla, Himachal Pradesh, India","https://ClinicalTrials.gov/show/NCT01440621"
9,"Effects of Modafinil in Methamphetamine Dependence","Completed","Has Results","Methamphetamine Dependence","Drug: Modafinil|Drug: Placebo","Behavioral Health Services of Pickens County, Pickens, South Carolina, United States","https://ClinicalTrials.gov/show/NCT00751023"
10,"Cognitive Behavioral Therapy, Modafinil, or Both for Multiple Sclerosis Fatigue","Completed","No Results Available","Multiple Sclerosis","Behavioral: Telephone-based Cognitive Behavioral Therapy|Drug: Modafinil","The University of Michigan, Ann Arbor, Michigan, United States|The University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT03621761"
