"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Study for Naltrexone on the Abuse Potential of Methylphenidate","Completed","No Results Available","Naltrexone|Methylphenidate Abuse","Drug: Placebo|Drug: Methylphenidate 60 mg|Drug: Treatment Phase Sequence 4213|Drug: Treatment Phase Sequence 2134|Drug: Treatment Phase Sequence 1342|Drug: Treatment Phase Sequence 3421","Vince & Associates Clinical Research, Inc., Overland Park, Kansas, United States","https://ClinicalTrials.gov/show/NCT03769064"
2,"RCT for Gambling and Naltrexone, Using Use Eye-tracking Analysis to Predict Treatment Response","Not yet recruiting","No Results Available","Eye Tracking|Gambling Disorder|Naltrexone","Drug: Naltrexone|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT04738773"
3,"Naltrexone Treatment for Prolonged Grief Disorder (PGD)","Recruiting","No Results Available","Prolonged Grief Disorder","Drug: Naltrexone HCl 50 MG Oral Tablet|Drug: Placebo","Weill Cornell Medicine, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04547985"
4,"IC PaIN Trial: Interstitial Cystitis Pain Improvement With Naltrexone","Recruiting","No Results Available","Interstitial Cystitis|Painful Bladder Syndrome|Bladder Pain Syndrome|Low Dose Naltrexone|Low-dose Naltrexone|Naltrexone","Drug: low-dose naltrexone|Drug: Placebo oral tablet","Center for Pelvic Health at the NorthShore University HealthSystem, Skokie, Illinois, United States","https://ClinicalTrials.gov/show/NCT04313972"
5,"Say When: Targeting Heavy Alcohol Use With Naltrexone Among MSM","Completed","No Results Available","Binge Drinking|HIV","Drug: Placebo|Drug: Naltrexone","Center on Substance Use and Health, San Francisco, California, United States","https://ClinicalTrials.gov/show/NCT02330419"
6,"Low-Dose Naltrexone for the Treatment of Painful Diabetic Neuropathy","Recruiting","No Results Available","Painful Diabetic Neuropathy","Drug: Naltrexone|Drug: Placebo","Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States","https://ClinicalTrials.gov/show/NCT04678895"
7,"Naltrexone in AUD Reward Drinkers","Not yet recruiting","No Results Available","Alcohol Use Disorder|Alcoholism","Drug: XR-NTX 380 mg, intramuscular injection|Behavioral: Medical Management|Drug: Placebo intramuscular injection",,"https://ClinicalTrials.gov/show/NCT05028062"
8,"Naltrexone Effects on Alcohol Intake","Completed","No Results Available","Social Drinker","Drug: Naltrexone","UCSF, San Francisco, California, United States","https://ClinicalTrials.gov/show/NCT00254670"
9,"Effects of Naltrexone on Nicotine Reinforcement","Completed","Has Results","Tobacco Dependence","Drug: Naltrexone|Drug: Placebo","Tobacco Use Research Center, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT00270231"
10,"N-acetylcysteine Plus Naltrexone for the Treatment of Alcohol Dependence","Completed","Has Results","Alcoholism","Drug: N-acetylcysteine + high-dose naltrexone (150 mg)|Drug: High-dose naltrexone (150 mg) alone|Drug: Low-dose naltrexone (50 mg) alone","VA Connecticut Healthcare System West Haven Campus, West Haven, CT, West Haven, Connecticut, United States|Minneapolis VA Health Care System, Minneapolis, MN, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT01214083"
