"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Phase 1 PK, Bioavailability, Safety Study of Clonidine MBT w Catapres in Healthy Volunteers","Completed","No Results Available","Healthy","Drug: Clonidine MBT 50µg|Drug: Clonidine MBT 100µg|Drug: Catapres 100μg","Simbec Research Limited, Merthyr Tydfil, United Kingdom","https://ClinicalTrials.gov/show/NCT02548806"
2,"Efficacy of Dexmedetomidine Versus Clonidine to Control Delirium in Patients Undergoing CABG","Completed","No Results Available","Delirium on Emergence","Drug: Dexmedetomidine|Drug: Clonidine","Ain Shams university, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT03477994"
3,"Clonidine and Morphine in Caudal Anesthesia","Completed","No Results Available","Postoperative Pain","Drug: Clonidine|Drug: Morphine|Drug: Bupivacaine plus clonidine and morphine|Drug: Bupivacaine","Santa Casa de Belo Horizonte Hospital, Belo Horizonte, Minas Gerais, Brazil","https://ClinicalTrials.gov/show/NCT00672347"
4,"Clonidine Versus Captopril for Treatment of Postpartum Very High Blood Pressure","Completed","No Results Available","Preeclampsia","Drug: CLONIDINE|Drug: CAPTOPRIL","IMIP, Recife, Pernambuco, Brazil","https://ClinicalTrials.gov/show/NCT01761916"
5,"Intrathecal Clonidine in Cesarean Section May Lead to Worse Blood Gas Results in the Newborns","Completed","No Results Available","Pregnancy","Drug: Intrathecal Clonidine|Drug: Intravenous Clonidine|Drug: Placebo",,"https://ClinicalTrials.gov/show/NCT02550444"
6,"The Value of Adding Either Meperdine or Fentanyl to Clonidine-bupivacaine","Completed","No Results Available","Amputation Stumps","Drug: Meperdine|Drug: Fentanyl","Faculty of Medicine ,Tanta University., Tanta, Algharbiya, Egypt|Tanta University Hospitals, Tanta, Algharbyia, Egypt","https://ClinicalTrials.gov/show/NCT02128451"
7,"Dexmedetomidine Versus Clonidine in TAP Block","Completed","No Results Available","Transversus Abdominis Plane Block","Drug: Dexmedetomidine|Drug: Clonidine|Drug: Levobupivacaine","Assiut University Hospital, Assiut, Egypt","https://ClinicalTrials.gov/show/NCT03155646"
8,"Association of Different Doses of Clonidine in Caudal Epidural Anesthesia for Hypospadias Surgery","Completed","No Results Available","Postoperative Pain","Drug: Clonidine 1 mcg/Kg|Drug: Clonidine 2 mcg/ Kg|Drug: Clonidine 3 mcg/ Kg",,"https://ClinicalTrials.gov/show/NCT02769390"
9,"Transdermal Clonidine in the Treatment of Severe Hyperemesis Gravidarum","Completed","Has Results","Hyperemesis Gravidarum","Drug: Clonidine","Ospedale Sant'Anna. Dipartimento di Ostetricia e Neonatologia. Servizio di Medicina Interna, Torino, Italy","https://ClinicalTrials.gov/show/NCT01559012"
10,"Comparative Affect of a Continuous Epidural Infusion of Clonidine During Labour. Prospective Double Blind Randomized Trial","Completed","No Results Available","Normal Pregnancy","Drug: Clonidine|Drug: Levobupivacaine|Drug: Sufentanil","Henri Jacques CLEMENT, Lyon, France|Anesthesie Reanimation - Gynecologie - Hopital de La Croix Rousse, Lyon, France","https://ClinicalTrials.gov/show/NCT00437996"
