"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Early Prediction of Fluoxetine Response","Completed","No Results Available","Major Depressive Disorder","Drug: fluoxetine","Kai-Suan Psychiatric Hospital, Kaohsiung, Taiwan","https://ClinicalTrials.gov/show/NCT01075529"
2,"Efficacy of Fluoxetine in Reducing Ictal Hypoventilation in Patients With Partial Epilepsy","Completed","Has Results","Uncontrolled Partial Epilepsy|Ictal Hypoventilation","Drug: Fluoxetine|Drug: Placebo","University of California, Davis, Sacramento, California, United States","https://ClinicalTrials.gov/show/NCT00986310"
3,"Bioequivalence Study of Fluoxetine HCL 40 mg Capsules Under Fasting Conditions","Completed","No Results Available","Healthy","Drug: fluoxetine HCL 40 mg capsules","Gateway medical research, St. Charles, Missouri, United States","https://ClinicalTrials.gov/show/NCT00778024"
4,"Fluoxetine in Multiple System Atrophy Patients","Completed","No Results Available","Multiple System Atrophy","Drug: FLUOXETINE","hospital center of Aix enProvence, Aix en Provence, France|Hospital Gabriel Montpied, Clermont-Ferrand, France|University Hospital Henri Mondor, Creteil, France|Hopital, Dijon, France|Hospital R Salengro, Lille, France|university hospital Dupuytren, Limoges, France|university hospital Timone, Marseille, France|University Hospital, Montpellier, France|Hospital, Nantes, France|hospital Pitié Salpêtrière, Paris, France|University Hospital La Miletrie, Poitiers, France|Hospital Pontchaillou, Rennes, France|civil hospital of Strasbourg, Strasbourg, France|University Hospital, Toulouse, France","https://ClinicalTrials.gov/show/NCT01146548"
5,"Fluoxetine as a Quit Smoking Aid for Depression-Prone Smokers","Completed","No Results Available","Depression|Smoking","Drug: Fluoxetine|Behavioral: Behavioral group smoking cessation treatment|Drug: Placebo","Edward Hines, Jr. VA Hospital, Hines, Illinois, United States","https://ClinicalTrials.gov/show/NCT00018174"
6,"Efficacy of Fluoxetine - a Trial in Stroke","Completed","No Results Available","Stroke","Drug: Fluoxetine|Drug: Placebo","Karolinska Institutet, Stockholm, Sweden","https://ClinicalTrials.gov/show/NCT02683213"
7,"Fluoxetine vs. Brief Psychotherapy for Major Depression","Completed","No Results Available","Major Depressive Disorder","Drug: Fluoxetine|Behavioral: Short-term psychodynamic psychotherapy",,"https://ClinicalTrials.gov/show/NCT00714779"
8,"Efficacy of Fluoxetine Against Seizure-induced Central Apneas","Completed","No Results Available","Epilepsy|Ictal/Post-ictal Hypoxemia","Drug: fluoxetine 20 mg|Drug: placebo 20 mg","Service de Neurologie Fonctionnelle et d'Epileptologie, Hôpital Neurologique, Lyon, France","https://ClinicalTrials.gov/show/NCT02569970"
9,"Effects rTMS Combined With Fluoxetine on Motor Recovery in Stroke Patients","Completed","Has Results","Stroke|Motor Function","Device: Active Repetitive Transcranial Magnetic Stimulation (rTMS)|Drug: Fluoxetine|Device: Sham repetitive transcranial magnetic stimulation (rTMS)|Drug: Placebo Fluoxetine","Spaulding Rehabilitation Hospital, Charlestown, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT02208466"
10,"Bioequivalence Study of Fluoxetine Hydrochloride Delayed-Release Capsules 90 mg of Dr. Reddy's Under Fed Condition","Completed","No Results Available","Healthy","Drug: Fluoxetine Hydrochloride","Lotus Labs Private Limited, Mylapore, Chennai, India","https://ClinicalTrials.gov/show/NCT01166087"
