"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Study of Memantine Augmentation in Severe Obsessive-Compulsive Disorder","Completed","No Results Available","Obsessive-Compulsive Disorder",,"OCD Institute, McLean Hospital, Belmont, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00869505"
2,"Memantine for Neuroprotection and Cognitive Enhancement Following Traumatic Brain Injury","Completed","Has Results","Traumatic Brain Injury","Drug: Memantine|Drug: Placebo","Indiana University Health Facilities, Indianapolis, Indiana, United States","https://ClinicalTrials.gov/show/NCT02240589"
3,"Memantine for Epileptic Encephalopathy","Completed","No Results Available","Epileptic Encephalopathy, Childhood-Onset","Drug: Memantine Hydrochloride 10 mg","Children Hospital - MUHC, Montréal, Quebec, Canada","https://ClinicalTrials.gov/show/NCT03779672"
4,"Predicting Treatment Response to Memantine in Autism Using Magnetic Resonance Spectroscopy","Completed","No Results Available","Autism Spectrum Disorder","Drug: Memantine|Device: Magnetic Resonance Imaging","University of Missouri, Columbia, Missouri, United States","https://ClinicalTrials.gov/show/NCT02811627"
5,"Memantine and Cognitive Dysfunction in Bipolar Disorder","Completed","Has Results","Bipolar Disorder","Drug: Memantine|Drug: Placebo","Cedars Sinai Department of Psychiatry, Los Angeles, California, United States|Asher Depression Center, Northwestern University, Chicago, Illinois, United States|Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00586066"
6,"A Pilot Clinical Trial Of Memantine for Essential Tremor","Completed","No Results Available","Essential Tremor","Drug: Memantine","VA Greater Los Angeles, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT00439699"
7,"Memantine in Systemic Lupus Erythematosus","Completed","No Results Available","Systemic Lupus Erythematosus","Drug: Memantine|Drug: Placebo","Johns Hopkins Lupus Center, 1830 East Monument Street, Suite 7500, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT00181298"
8,"Memantine Treatment for Obsessive-compulsive Disorder and Generalized Anxiety Disorder","Completed","Has Results","Obsessive-Compulsive Disorder|Generalized Anxiety Disorder","Drug: Memantine","UCLA, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT00674219"
9,"Effectiveness of Memantine in Treating Cocaine-Dependent Individuals - 2","Completed","Has Results","Cocaine-Related Disorders","Drug: Memantine|Drug: placebo","Research Foundation for Mental Hygiene, Inc., New York, New York, United States","https://ClinicalTrials.gov/show/NCT00134901"
10,"Effect of Memantine on Functional Communication in Patients With Alzheimer's Disease","Completed","Has Results","Alzheimer's Disease","Drug: Memantine|Drug: placebo","Forest Investigative Site, East Gosford, New South Wales, Australia|Forest Investigative Site, Hornsby, New South Wales, Australia|Forest Investigative Site, Kogarah, New South Wales, Australia|Forest Investigative Site, Newcastle, New South Wales, Australia|Forest Investigative Site, Randwick, New South Wales, Australia|Forest Investigative Site, Chermside, Queensland, Australia|Forest Investigative Site, Toowoomba, Queensland, Australia|Forest Investigative Site, Adelaide, South Australia, Australia|Forest Investigative Site, Woodville, South Australia, Australia|Forest Investigative Site, Box Hill, Victoria, Australia|Forest Investigative Site, Frankston, Victoria, Australia|Forest Investigative Site, Heidelberg West, Victoria, Australia|Forest Investigative Site, Kew, Victoria, Australia|Forest Investigative Site, Perth, Western Australia, Australia|Forest Investigative Site, Christchurch, New Zealand|Forest Investigative Site, North Shore, New Zealand|Forest Investigative Site, Timaru, New Zealand|Forest Investigative Site, George, E. Cape, South Africa|Forest Investigative Site, Port Elizabeth, E. Cape, South Africa|Forest Investigative Site, Johannesburg, Gauteng, South Africa|Forest Investigative Site, Johannesburg, Gauteng, South Africa|Forest Investigative Site, Pretoria, Gauteng, South Africa|Forest Investigative Site, Durban, KZ-Natal, South Africa|Forest Investigative Site, Cape Town, W. Cape, South Africa|Forest Investigative Site, Cape Town, W. Cape, South Africa","https://ClinicalTrials.gov/show/NCT00469456"
