"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Study to Evaluate the Effect of Multiple-dose of Fluvoxamine on the Plasma Concentration of Quetiapine (FK949E) in Healthy Male Volunteers","Completed","No Results Available","Healthy|Pharmacokinetics of Quetiapine","Drug: FK949E|Drug: fluvoxamine","Kyushu, Japan","https://ClinicalTrials.gov/show/NCT01908296"
2,"Nis Register Study Comparing Seroquel and Seroquel Prolong","Completed","No Results Available","Comparing Hospitalisation Time With Seroquel and Seroquel Prolong",,"Research Site, Lappeenranta, Finland","https://ClinicalTrials.gov/show/NCT00965536"
3,"Study to Evaluate the Effect of Food Intake on the Plasma Concentration Changes of Quetiapine After Oral Administration of FK949E in Healthy Volunteers","Completed","No Results Available","Healthy|Plasma Concentration Change of Quetiapine","Drug: FK949E","Kyushu, Japan","https://ClinicalTrials.gov/show/NCT01871987"
4,"Quetiapine in the Treatment of Psychotic Depression - a Pilot Study","Completed","No Results Available","Psychotic Depression","Drug: Quetiapine","LWL University Hospital Bochum of the Ruhr-University Bochum, Bochum, NRW, Germany","https://ClinicalTrials.gov/show/NCT00751504"
5,"Study of Quetiapine Treatment for Cannabis Dependence","Completed","Has Results","Cannabis Dependence","Drug: quetiapine","Substance Treatment Research Service (STARS) of Columbia University, New York, New York, United States","https://ClinicalTrials.gov/show/NCT00954681"
6,"Bioequivalence Study of Two Extended Release Formulations Containing 50 mg of Quetiapine.","Completed","No Results Available","Healthy","Drug: Quetiapine","DominguezLab, Paraná, Entre Ríos, Argentina","https://ClinicalTrials.gov/show/NCT03317236"
7,"The Use of Quetiapine (Seroquel) in the Treatment of Social Phobia: Public Speaking Environment","Completed","No Results Available","Social Phobia","Drug: quetiapine","University of Minnesota, Minneapolis, Minnesota, United States","https://ClinicalTrials.gov/show/NCT00407199"
8,"Quetiapine (Seroquel) Maintenance Treatment in Early Onset Bipolar Spectrum Disorders","Completed","No Results Available","Bipolar Disorder","Drug: Quetiapine","Mood Disorders Center of Ottawa, Ottawa, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00252226"
9,"A Randomized Control Trial Comparing Quetiapine to Risperidone in Bipolar Disorder With Stimulant Dependence","Completed","No Results Available","Bipolar Disorder|Cocaine Dependence|Methamphetamine Dependence","Drug: quetiapine, risperidone","University of Texas Southwestern Medical Center at Dallas, Dallas, Texas, United States|Universty of North Texas Health Science Center, Fort Worth, Texas, United States","https://ClinicalTrials.gov/show/NCT00227123"
10,"Effect of Quetiapine on Marijuana Withdrawal and Relapse","Completed","Has Results","Marijuana Smoking","Drug: Marijuana|Drug: Quetiapine|Drug: Placebo oral capsule","New York State Psychiatric Institute, New York, New York, United States","https://ClinicalTrials.gov/show/NCT00743366"
