"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"Sildenafil IV Bolus Study","Completed","No Results Available","Hypertension, Pulmonary","Drug: sildenafil","Pfizer Investigational Site, Bruxelles, Belgium","https://ClinicalTrials.gov/show/NCT00800592"
2,"Topical Sildenafil as Pre-Treatment for Hand-Foot Skin Reaction","Completed","No Results Available","Hand Foot Skin Reaction","Drug: Sildenafil","Department of Dermatology, Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States|Northwestern Memorial Hospital, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT03229512"
3,"Sildenafil in COVID-19","Completed","No Results Available","Covid19|SARS-COV2 Infection","Drug: Sildenafil|Drug: Placebo","Hospital Naval Almirante Nef, Viña Del Mar, Valparaiso, Chile","https://ClinicalTrials.gov/show/NCT04489446"
4,"Use of Sildenafil (Viagra) in Diabetic Men With Erectile Dysfunction: the Impact on Blood Vessels","Completed","No Results Available","Impotence","Drug: Viagra","St. Joseph's Health Care London/Urology Clinic, London, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00199563"
5,"A Study Of The Evaluation Of Patients Opulation With Erectile Dysfunction, Treated With Sildenafil","Completed","No Results Available","Erectile Dysfunction","Drug: sildenafil",,"https://ClinicalTrials.gov/show/NCT01108900"
6,"Pharmacokinetics of Sildenafil in Premature Infants","Completed","No Results Available","Persistent Pulmonary Hypertension of the Newborn","Drug: 1 dose of sildenafil","University of Alabama at Birmingham, Birmingham, Alabama, United States|Riley Hospital, Indianapolis, Indiana, United States|Kosair Pediatric Research Unit, Louisville, Kentucky, United States|Albany Medical Center, Albany, New York, United States|Kings County Hospital Center/SUNY Downstate Medical Center, Brooklyn, New York, United States|University of North Carolina, Chapel Hill, North Carolina, United States|Duke University, Durham, North Carolina, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Medical University of South Carolina, Charleston, South Carolina, United States","https://ClinicalTrials.gov/show/NCT01670136"
7,"Evaluation of Drug-drug Interaction Between LCZ696 and Sildenafil in Subjects With Mild to Moderate Hypertension","Completed","Has Results","Mild to Moderate Hypertension","Drug: LCZ696|Drug: Sildenafil","Novartis Investigative Site, Berlin, Germany","https://ClinicalTrials.gov/show/NCT01601470"
8,"Sildenafil Citrate in Waldenstrom's Macroglobulinemia","Completed","No Results Available","Waldenstrom's Macroglobulinemia","Drug: Sildenafil citrate (Viagra)","Dana-Farber Cancer Institute, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00165295"
9,"A Non-Interventional Follow Up Study For Subjects Who Received Sildenafil for Persistent Pulmonary Hypertension of the Newborn (PPHN)","Completed","Has Results","Pulmonary Hypertension, Persistent, of the Newborn","Other: non-interventional","Great Ormond Street Hospital, Paediatric Intensive Care, London, United Kingdom","https://ClinicalTrials.gov/show/NCT01801982"
10,"A Study to Compare the Blood Levels of Sildenafil Following Administration of an Experimental Tablet vs. the Conventional Oral Tablet in Healthy Subjects","Completed","No Results Available","Erectile Dysfunction","Drug: Sildenafil","Pfizer Investigational Site, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT00866463"
