"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1,"The Clinical and Economic Impact of Pharmacogenomic Testing for Tamoxifen Metabolism in Postmenopausal Women Receiving Tamoxifen for Prevention of Recurrent Breast Cancer","Completed","No Results Available","Breast Neoplasms|Tamoxifen","Other: Poor Metabolism Status Follow Up Therapy Considerations|Other: CYP2D6 Inhibiting Drugs","Robert Epstein, Franklin Lakes, New Jersey, United States","https://ClinicalTrials.gov/show/NCT00830973"
2,"Tamoxifen Treatment in Patients With Motor Neuron Disease","Completed","No Results Available","Amyotrophic Lateral Sclerosis|ALS Functional Ration Scale|TAR-DNA-binding Protein-43|Tamoxifen|mTOR","Drug: tamoxifen 40 mg daily for one year","Po-Chih Chen, New Taipei City, Taiwan","https://ClinicalTrials.gov/show/NCT02166944"
3,"Tamoxifen in Treatment of Acute Mania","Completed","No Results Available","Bipolar Disorder","Drug: Tamoxifen Citrate|Drug: Placebo","Dokuz Eylül University, Department of Psychiatry, Izmir, Turkey","https://ClinicalTrials.gov/show/NCT00411203"
4,"Evaluation the Treatment of Tamoxifen of Low/Intermediate Risk Bladder Tumors","Completed","Has Results","Bladder Cancer","Drug: Tamoxifen Citrate","Baylor College of Medicine, Houston, Texas, United States|Harris Health System, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT02197897"
5,"Fourteen Day Safety of Low-Dose Tamoxifen in Patients With Chronic Hepatitis C Who Have Failed Standard Medical Therapy","Completed","No Results Available","Chronic Hepatitis C","Drug: tamoxifen","VA Hospital, Oklahoma City, Oklahoma, United States","https://ClinicalTrials.gov/show/NCT00749138"
6,"A Pilot Study of Varying Doses of Tamoxifen in the Setting of Genetic Polymorphisms of CYP2D6","Completed","No Results Available","Breast Cancer","Drug: Tamoxifen","Icahn School of Medicine at Mount Sinai, New York, New York, United States","https://ClinicalTrials.gov/show/NCT00900744"
7,"Analyzing a New Mechanism in Response to Tamoxifen Therapy in Breast Cancer Patients","Completed","Has Results","Breast Cancer","Drug: Tamoxifen","University of Chicago, Chicago, Illinois, United States|Roswell Park Cancer Institute, Buffalo, New York, United States","https://ClinicalTrials.gov/show/NCT01027416"
8,"To Assess Safety and Effect of Olaparib on the Pharmacokinetics of Anastrozole, Letrozole & Tamoxifen, and Their Effect on Olaparib, in Patients With Advanced Solid Cancer","Completed","Has Results","Solid Tumours","Drug: Olaparib|Drug: Tamoxifen|Drug: Anastrozole|Drug: Letrozole|Procedure: Pharmacokinetic sampling","Research Site, Brussels, Belgium|Research Site, Edegem, Belgium|Research Site, Gent, Belgium|Research Site, Leuven, Belgium|Research Site, Liège, Belgium|Research Site, Wilrijk, Belgium|Research Site, Herlev, Denmark|Research Site, Bordeaux, France|Research Site, Amsterdam, Netherlands|Research Site, Utrecht, Netherlands|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Newcastle Upon Tyne, United Kingdom|Research Site, Sutton, United Kingdom","https://ClinicalTrials.gov/show/NCT02093351"
9,"Tamoxifen-MRI Study","Completed","No Results Available","Breast Cancer","Drug: Tamoxifen","UCLA Medical Center, Los Angeles, California, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|Wayne State University, Detroit, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States|European Institute of Oncology, Milan, Italy","https://ClinicalTrials.gov/show/NCT00295100"
10,"Tamoxifen Pharmacogenetics and Clinical Effects","Completed","No Results Available","Breast Cancer","Drug: Tamoxifen (pharmacodynamic analysis)","Indiana University, Indianapolis, Indiana, United States|UMCCC, Ann Arbor, Michigan, United States","https://ClinicalTrials.gov/show/NCT00228930"
